variable_matriz,source_id,table_id,original_variable,tipo_original,tipo_matriz,unit,direction,bloque_tematico,regla_temporal_default,regla_transformacion,is_primary,redundant_with,pct_complete,n_countries_available,fase4_role,included_in_fase4_eda,known_limitations,human_review_status,notes,fuente,tipo,bloque,descripcion_larga
anthropic_ai_autonomy_mean,anthropic,aei_metrics_wide,ai_autonomy_mean,count,numeric,count,unknown,adoption_diffusion,latest_window_available,raw_value_no_imputation,True,,78.89,157.0,supporting_context,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
anthropic_ai_autonomy_median,anthropic,aei_metrics_wide,ai_autonomy_median,count,numeric,count,unknown,adoption_diffusion,latest_window_available,raw_value_no_imputation,True,,78.89,157.0,supporting_context,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
anthropic_ai_education_years_mean,anthropic,aei_metrics_wide,ai_education_years_mean,count,numeric,count,unknown,adoption_diffusion,latest_window_available,raw_value_no_imputation,True,,78.89,157.0,supporting_context,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
anthropic_collaboration_pct,anthropic,aei_metrics_wide,collaboration_pct,pct,numeric,pct,higher_better,adoption_diffusion,latest_window_available,raw_value_no_imputation,True,,77.39,154.0,supporting_context,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
anthropic_gdp_total,anthropic,fact_gdp_economic,gdp_total,usd,numeric,usd,higher_better,socioeconomic_control,latest_window_available,raw_value_no_imputation,False,wb_gdp_current_usd,86.93,173.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
anthropic_usage_pct,anthropic,aei_metrics_wide,usage_pct,pct,numeric,pct,higher_better,adoption_diffusion,latest_window_available,raw_value_no_imputation,True,,81.91,163.0,supporting_context,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_adhiere_oecd_ai,iapp,datos,adhiere_oecd_ai,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_adopto_unesco_etica_ia,iapp,datos,adopto_unesco_etica_ia,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_categoria_obligatoriedad,iapp,datos,categoria_obligatoriedad,categorical,categorical,categorical,categorical,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_endoso_declaracion_data_scraping,iapp,datos,endoso_declaracion_data_scraping,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_endoso_hiroshima_g7,iapp,datos,endoso_hiroshima_g7,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_estrategia_nacional_ia,iapp,datos,estrategia_nacional_ia,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_firmo_ai_action_summit,iapp,datos,firmo_ai_action_summit,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_firmo_bletchley,iapp,datos,firmo_bletchley,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_firmo_coe_convencion,iapp,datos,firmo_coe_convencion,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_guias_sectoriales,iapp,datos,guias_sectoriales,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_herramientas_testing,iapp,datos,herramientas_testing,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_instituto_seguridad_ia,iapp,datos,instituto_seguridad_ia,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_ley_ia_vigente,iapp,datos,ley_ia_vigente,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_marcos_voluntarios,iapp,datos,marcos_voluntarios,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_modelo_gobernanza,iapp,datos,modelo_gobernanza,categorical,categorical,categorical,categorical,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_n_autoridades,iapp,datos,n_autoridades,count,numeric,count,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_n_leyes_relacionadas,iapp,datos,n_leyes_relacionadas,count,numeric,count,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
iapp_proyecto_ley_ia,iapp,datos,proyecto_ley_ia,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
