fig_id,section,entity_type,num_data_rows,num_cols,is_wide,note,columns_preview
fig_2.1.1,fig_2.1.1,category,51,5,N,,Year | Method | Perfomance relative to the human baseline | Benchmark | Task
fig_2.1.2,fig_2.1.2,category,70,3,N,,Year | Arena score (Elo-like) | Label
fig_2.1.3,fig_2.1.3,category,70,3,N,,Year | Arena score (Elo-like) | Label
fig_2.1.4,fig_2.1.4,category,237,3,N,,Year | Arena score (Elo-like) | Label
fig_2.1.5,fig_2.1.5,category,9,2,N,,Benchmark | Precision@50 (%)
fig_2.2.1,fig_2.2.1,model,15,2,N,,Model | Overall accuracy (%)
fig_2.2.2,fig_2.2.2,model,15,6,N,,model | arena_elo_rating | 95_CI_upper | 95_CI_lower | Error Lower | Error Upper
fig_2.2.3,fig_2.2.3,model,15,2,N,,Model | Overall Accuracy
fig_2.2.4,fig_2.2.4,global,6,2,N,,Year | Average accuracy
fig_2.3.1,fig_2.3.1,model,15,2,N,,Model | Average accuracy
fig_2.3.2,fig_2.3.2,model,25,3,N,,Model | Year | Overall
fig_2.3.3,fig_2.3.3,model,24,2,N,,∆knowledge | Model
fig_2.3.5,fig_2.3.5,model,15,6,N,,model | arena_elo_rating | 95_CI_upper | 95_CI_lower | Error Lower | Error Upper
fig_2.3.6,fig_2.3.6,model,28,3,N,,Model | type | score
fig_2.3.7,fig_2.3.7,model,10,2,N,,Model | Total Score
fig_2.4.1,fig_2.4.1,model,14,3,N,,Model | Year | Accuracy (%)
fig_2.4.2,fig_2.4.2,category,3,3,N,,year | method | metric
fig_2.4.3,fig_2.4.3,model,15,2,N,,AI System | ARC-AGI-2 (%)
fig_2.4.4,fig_2.4.4,model,2,3,N,,year | model | accuracy
fig_2.4.6(1),fig_2.4.6(1),model,7,2,N,duplicate_of_fig_2.4.6,Model | Value
fig_2.4.6,fig_2.4.6,model,7,2,N,,Model | Value
fig_2.4.7,fig_2.4.7,model,7,2,N,,Model | Value
fig_2.4.8(1),fig_2.4.8(1),model,15,2,N,duplicate_of_fig_2.4.8,Model | Average accuracy (%)
fig_2.4.8,fig_2.4.8,model,15,2,N,,Model | Average accuracy (%)
fig_2.4.9,fig_2.4.9,category,32,3,N,,domain | model_planner | solved_tasks
fig_2.4.10,fig_2.4.10,category,32,3,N,,domain | model_planner | solved_tasks
fig_2.5.1,fig_2.5.1,model,20,3,N,,Model | Type | Percent resolved
fig_2.5.2,fig_2.5.2,global,13,2,N,,month_year | metric_trend
fig_2.5.3,fig_2.5.3,model,8,2,N,,Model | Accuracy
fig_2.5.4,fig_2.5.4,category,2,3,N,,year | method | metric
fig_2.5.5,fig_2.5.5,model,2,3,N,,release_date | model | accuracy
fig_2.5.7,fig_2.5.7,model,9,2,N,,Model | Value
fig_2.5.8,fig_2.5.8,model,15,2,N,,Model | Accuracy
fig_2.5.9,fig_2.5.9,model,15,2,N,,Model | Accuracy
fig_2.5.10,fig_2.5.10,model,15,2,N,,Model | Accuracy
fig_2.5.11,fig_2.5.11,model,15,2,N,,Model | Accuracy
fig_2.5.12,fig_2.5.12,model,15,2,N,,Model | Accuracy
fig_2.5.13,fig_2.5.13,model,15,2,N,,Model | Accuracy
fig_2.6.1,fig_2.6.1,model,5,3,N,,release_date | model | accuracy
fig_2.6.2,fig_2.6.2,category,2,3,N,,year | method | metric
fig_2.6.3,fig_2.6.3,model,4,3,N,,year | Model | Success Rate
fig_2.6.4,fig_2.6.4,model,3,12,N,,year | Agent | LLM(s) Used | Low==Lite (%) | Low==Lite (¬± %) | Medium (%) | Medium (¬± %) | High (%)
fig_2.6.5,fig_2.6.5,model,3,3,N,,Release Year | Model | Unguided % Solved
fig_2.6.6,fig_2.6.6,model,7,2,N,,Model | Value
fig_2.7.1,fig_2.7.1,model,4,3,N,,year | model | metric
fig_2.7.2,fig_2.7.2,organization,10,3,N,,Score | Team | Label
fig_2.7.3,fig_2.7.3,model,5,3,N,,Model | Year | Overall SSR↑
fig_2.7.5,fig_2.7.5,global,32,2,N,,Month-Year | Number of weekly paid trips (in thousands)
fig_2.7.7,fig_2.7.7,global,4,2,N,,Year | Number of trips
fig_2.7.8,fig_2.7.8,category,13,3,N,,Dataset / Benchmark | Version (Year) | Hours
fig_2.7.11,fig_2.7.11,category,22,3,N,,Count | Crash Type Group | Label
fig_2.7.12,fig_2.7.12,category,12,3,N,,Count | Crash Type Group | Label
