NUM,NAME_2021,EXISTE_2021,NAME_2022,EXISTE_2022,DESCRIPTION,SOURCE,WEBSITE,LEVEL,NAME_2023,EXISTE_2023,NAME_2024,EXISTE_2024,NAME_2025,EXISTE_2025,TYPE,PROFILE,NOTAS_CAMBIO
,,0,Global Innovation Index,1,The overall GII score is the simple average of the Innovation Input and Output Sub-Index scores.,,,Index,Global Innovation Index,1,Global Innovation Index,1,Global Innovation Index,1,,,
0,Global Innovation Index,1,,0,The overall GII score is the simple average of the Innovation Input and Output Sub-Index scores.,Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Index,,
1,Institutions,1,,0,"This pillar captures the institutional framework of an economny, such as the political, regulatory and business environment.",Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Pillar,Score,
2,Human capital and research,1,,0,This pillar gauges the human capital of countries.,Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Pillar,Score,
3,Infrastructure,1,,0,"The third pillar measures Information and communication technologies (ICTs), General infrastructure, and Ecological sustainability.",Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Pillar,Score,
4,Market sophistication,1,,0,The Market sophistication pillar has three sub-pillars structured around market conditions and the total level of transactions.,Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Pillar,Score,
5,Business sophistication,1,,0,The fifth enabler pillar tries to capture the level of business sophistication to assess how conducive firms are to innovation activity.,Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Pillar,Score,
6,Knowledge and technology outputs,1,,0,This pillar covers all those variables that are traditionally thought to be the fruits of inventions and or innovations.,Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Pillar,Score,
7,Creative outputs,1,,0,The last pillar on creative outputs measures the role of creativity for innovation.,Global Innovation Index,https://www.globalinnovationindex.org/analysis-indicator,,,0,,0,,0,Pillar,Score,
IN,,0,Innovation inputs,1,"The Innovation Input Sub-Index is comprised of five input pillars that capture elements of the economy that enable and facilitate innovative activities: (1) Institutions, (2) Human capital and research, (3) Infrastructure, (4) Market sophistication, and (5) Business sophistication.",,,SubIndex,Innovation inputs,1,Innovation inputs,1,Innovation inputs,1,,,
