iso3,country_name_canonical,tr_ley_ia_vigente,tr_proyecto_ley_ia,cluster_hca,cluster_kmeans,analysis_scope,validation_scope,holdout_used,score_scope,independent_prediction,causal_claim
ARE,United Arab Emirates,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
SGP,Singapore,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
NOR,Norway,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
IRL,Ireland,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
FRA,France,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
ESP,Spain,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
NZL,New Zealand,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
NLD,Netherlands (Kingdom of the),0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
GBR,United Kingdom,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
QAT,Qatar,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
AUS,Australia,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
ISR,Israel,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
BEL,Belgium,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
CAN,Canada,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
CHE,Switzerland,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
SWE,Sweden,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
AUT,Austria,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
KOR,South Korea,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
HUN,Hungary,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
DNK,Denmark,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
DEU,Germany,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
POL,Poland,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
TWN,Taiwan,1.0,0.0,2,2,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
CZE,Czech Republic,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
