model,avg_energy_consumption_wh,year
GPT-4,7.2,2023
GPT-4 Turbo,6.9,2023
GPT-3.5 Turbo,1.69,2023
DeepSeek V3 (DeepSeek),15.86,2024
Llama 3.1 405B Standard,9.0,2024
Mistral Large 2 (AWS),7.45,2024
Mistral Large 2 (Azure),5.34,2024
o1,4.59,2024
Claude 3.5 Haiku,4.54,2024
Llama 3.1 70B Standard,4.36,2024
Llama 3.2 90B (Vision),4.13,2024
Llama 3.1 405B Latency Optimized,2.99,2024
Llama 3 70B,2.96,2024
GPT-4o (May),2.46,2024
GPT-4o mini,1.88,2024
Claude 3 Haiku,1.88,2024
GPT-4o (Nov),1.68,2024
GPT-4o (Aug),1.45,2024
DeepSeek V3.2 Exp,23.24,2025
DeepSeek V3.2,23.13,2025
GPT-5 (high),21.85,2025
o3-pro,21.77,2025
GPT-5 mini (high),14.9,2025
GPT-5 (medium),13.08,2025
Grok 4,11.9,2025
GPT-5 (low),8.35,2025
Kimi K2 Thinking,7.65,2025
GPT-5 nano (high),7.48,2025
o3-mini (high),6.71,2025
o4-mini (high),6.26,2025
Grok 3 Fast,5.57,2025
Claude 4 Opus,5.32,2025
GPT-5 mini (medium),5.13,2025
