Figura,Titulo,Pagina_PDF,Pagina_doc,Tipo,Descripcion,Metrica_principal,Temporalidad_datos,Paises_cobertura,N_paises,Fuente_datos,Dato_descargable
Figure 1,Infographics: input and output of an AI system,13,12,Figura conceptual,"Diagrama conceptual que ilustra los componentes de un sistema de IA: datos (soft asset), algoritmos y capacidad computacional (hard assets) como inputs; predicciones, contenido, recomendaciones y decisiones como outputs.","Esquema cualitativo, sin métricas numéricas",Sin datos temporales (esquema conceptual basado en definición OECD 2024),Ninguno (conceptual),0,Authors (Kergroach & Héritier),No
Figure 2,AI adoption rates almost doubled in some countries over 2024,14,13,Figura - gráfico de barras,"Tasa de empresas usando IA como porcentaje del total de empresas (con 10+ empleados), para 2023 y 2024 o año más cercano disponible. Muestra la aceleración entre 2023 y 2024.","% empresas usando IA (2023 y 2024); Estonia x2.7, Suecia y Grecia >x2.4, Noruega x2.3 de aceleración",2023 y 2024 (o año más cercano disponible); algunos países con datos anteriores a 2023 presentados por separado,"OECD + EU27 (aprox. 30+ países); incluye Estonia, Suecia, Grecia, Noruega, Dinamarca, Finlandia, Bélgica, Corea, Canadá entre los más destacados",35,"OECD (2025) ICT Access and Usage by Businesses Database, actualización 07 May 2025",Sí (OECD.Stat)
Figure 3,"New AI generation has boosted deployment, increasing country divides",15,14,Figura - scatter plot,"Scatter plot con tasa de adopción de IA en 2021 (eje X) vs. variación post-GenAI 2023-24 en puntos porcentuales (eje Y), para países EU27 con datos disponibles. Muestra que países con mayor adopción inicial tienen mayor aceleración.",Adopción 2021 (%) vs. variación pp 2023-24; gap creció de 14pp en 2021 (rango 2%-16%) a 24pp en 2024 (rango 4%-28%),2021 (pre-GenAI) y 2023-2024 (post-GenAI),"EU27 con datos disponibles: DNK, SWE, BEL, FIN, LUX, NLD, SVN, NOR, AUT, DEU, IRL, EST, HRV, ESP, CZE, SVK, FRA, GRC, LVA, LTU, PRT, ITA, HUN, POL, TUR, ROU (+ OECD y EU27 promedios)",26,Authors cálculos basados en Eurostat/OECD ICT surveys,Parcialmente (Eurostat databrowser)
Figure 4,"Gaps in AI adoption rates have widened across places, sectors and firms",16,15,Figura - box plots / dispersión,"Dispersión de tasas de adopción de IA entre segmentos de la economía y la población empresarial (%), comparando 2024 vs. 2023. Segmentos: regiones capital vs. no-capital, servicios vs. manufactura, grandes vs. pequeñas empresas.",% dispersión inter-percentil por segmento; mayor brecha en regiones no-capital y grandes empresas,2023 y 2024,OECD / EU27 en agregado (sin desagregación por país específico),27,Authors cálculos basados en OECD ICT database y Eurostat,Parcialmente
Figure 5,The most innovative regions are prime AI adopters and the fastest in uptake,17,16,Figura - scatter plot regional,"Tasa de adopción de IA 2024 (eje Y) vs. 2023 (eje X) por región NUTS2, coloreado por desempeño de innovación regional (Innovation Leaders, Strong, Moderate, Emerging innovators), EU27, 2024.","% empresas usando IA por región; Brussels capital >32% en 2024, Central Jutland (DNK) 35%, Region Zealand (DNK) 28%, Tirol/Vorarlberg/Upper Austria ~21%, Flemish (BEL) 25%",2023 y 2024,"EU27, regiones NUTS2; destacan Bélgica (Brussels, Flandes), Dinamarca (Jutlandia Central, Selandia), Austria (Tirol, Vorarlberg, Alta Austria), Noruega (Oslo), Hungría, Rumanía, Noruega (Innlandet) como rezagados",27,Eurostat (2024) AI by NACE Rev.2 and NUTS2 region; EC (2023) Regional Innovation Scoreboard,Sí (Eurostat databrowser: isoc_r_eb_ain2)
Figure 6,"In the race to AI, some regions are breaking away",19,18,Figura - curva de difusión tecnológica,"Curva de difusión tecnológica tipo campana (Rogers 1962) aplicada a regiones NUTS2 de EU27. Eje X: tasa de adopción empresarial de IA 2024 (% empresas); eje Y: beneficios teóricos para nuevos adoptores. Identifica innovadores, adoptadores tempranos, mayoría temprana, tardía y rezagados.","% de adopción empresarial de IA por región (2024); innovators=2.5%, early adopters=+13.5%, early majority=+34%",2024,"EU27, todas las regiones NUTS2 con datos disponibles",27,Authors cálculos basados en OECD ICT y Eurostat; Rogers (1962) marco teórico,Parcialmente
Figure 7,Firms in knowledge-intensive services and networks industries are quicker on AI uptake,20,19,Figura - curva de difusión por sector,"Curva de difusión tecnológica aplicada a sectores, con puntos por país OECD. Eje X: tasa de adopción sectorial (% empresas); eje Y: beneficios teóricos. Sectores: ICT y comunicaciones, servicios profesionales S&T, manufactura, utilidades, etc.","Adopción IA por sector 2024: ICT/comunicaciones 44% promedio OECD (DNK, SWE, FIN >66%); S&T profesional 26% promedio (SWE >53%)",2024 o último año disponible,"OECD (todos los países con datos disponibles, aprox. 35)",35,Authors cálculos basados en OECD ICT Access and Usage by Businesses Database y Eurostat,Parcialmente (OECD.Stat)
Figure 8,Large firms took the lead in the AI transition,21,20,Figura - comparativa por tamaño de empresa,"Comparación de tasas de adopción de IA por tamaño de empresa (pequeñas <50 empleados, medianas 50-249, grandes ≥250) versus otras tecnologías (social media, cloud, big data, CRM). OECD, 2024.","OECD 2024: 12% pequeñas empresas vs. 39% grandes usan IA (factor 3.3x); Finlandia grandes: 70%, Bélgica: 66%, Dinamarca: 63%; EU27 promedio grandes: 41%",2023-2024,"OECD en agregado; destacan Finlandia, Bélgica, Dinamarca con mayor adopción en grandes empresas",35,OECD (2025) ICT Access and Usage by Businesses Database,Sí (OECD.Stat)
Figure 9,Enterprises adopt AI with software for process improvement and business intelligence,24,23,Figura - scatter plot biplot,"Scatter plot con tasa de adopción de IA (eje X) vs. adopción de software de integración de procesos de negocio (eje Y), por región NUTS2 y sector, EU27, 2024. Muestra correlación positiva entre integración de software y adopción de IA.","% empresas usando IA vs. % usando software de integración de procesos, por región/sector 2024",2024 o último año disponible,"EU27, desagregado por región NUTS2 y sector NACE",27,"Héritier & Kergroach (2025 forthcoming); Eurostat isoc_r_eb_iipn2 y isoc_r_eb_ain2, datos al 08 April 2025",Sí (Eurostat databrowser)
Figure 10,AI benefits are perceived and seized differently across sectors,26,25,Figura - radar / barras por propósito y sector,"Porcentaje de empresas usando IA por propósito principal de uso y sector, EU27, 2024. Propósitos: administración/gestión, contabilidad/finanzas, seguridad TIC, I+D/innovación, logística, procesos de producción, marketing/ventas. Compara sector con mayor/menor tasa con el promedio EU27.",% empresas usando IA por propósito y sector (EU27 promedio); sector I+D científico (M72) con mayor adopción en múltiples propósitos,2024,EU27 en agregado; sin desagregación por país específico,27,"Eurostat (2025), basado en encuesta ICT-ENT",Sí (Eurostat databrowser)
