ordinal,column,kind,dtype,source_column,rol_mvp,subpregunta,transform_config,n_non_null,n_null,pct_null,unique_non_null
1,iso3,id,string,,,,,43,0,0.0,43
2,country_name_canonical,id,string,,,,,43,0,0.0,43
3,entity_type,metadata,string,,,,,43,0,0.0,1
4,region,metadata,string,,,,,42,1,2.3256,6
5,income_group,metadata,string,,,,,42,1,2.3256,3
6,n_sources_present,metadata,integer,,,,,43,0,0.0,3
7,source_list,metadata,string,,,,,43,0,0.0,4
8,n_variables_available,metadata,integer,,,,,43,0,0.0,28
9,pct_variables_available,metadata,float,,,,,43,0,0.0,28
10,included_in_matrix,metadata,bool,,,,,43,0,0.0,1
11,included_in_dense_candidate,metadata,bool,,,,,43,0,0.0,1
12,inclusion_notes,metadata,string,,,,,1,42,97.6744,1
13,tr_ley_ia_vigente,observed_core,float,tr_ley_ia_vigente,X1_regulatory,all,none,43,0,0.0,2
14,tr_categoria_obligatoriedad,observed_core,string,tr_categoria_obligatoriedad,X1_regulatory,all,one_hot,43,0,0.0,3
15,tr_proyecto_ley_ia,observed_core,float,tr_proyecto_ley_ia,X1_regulatory,all,none,43,0,0.0,2
16,tr_modelo_gobernanza,observed_core,string,tr_modelo_gobernanza,X1_regulatory,all,one_hot,43,0,0.0,3
17,oxford_ind_company_investment_emerging_tech,observed_core,float,oxford_ind_company_investment_emerging_tech,Y_Q1_investment,Q1,zscore,43,0,0.0,40
18,oxford_ind_ai_unicorns_log,observed_core,float,oxford_ind_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,7
19,oxford_ind_non_ai_unicorns_log,observed_core,float,oxford_ind_non_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,17
20,oxford_ind_vc_availability,observed_core,float,oxford_ind_vc_availability,Y_Q1_investment,Q1,log_zscore,43,0,0.0,29
21,wipo_c_vencapdeal_score,observed_core,float,wipo_c_vencapdeal_score,Y_Q1_investment,Q1,zscore,40,3,6.9767,37
22,wb_fdi_net_inflows,observed_core,float,wb_fdi_net_inflows,Y_Q1_or_control,Q1,signed_log_zscore,42,1,2.3256,42
23,ms_h2_2025_ai_diffusion_pct,observed_core,float,ms_h2_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,38
24,ms_h1_2025_ai_diffusion_pct,observed_core,float,ms_h1_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,39
25,ms_change_pp,observed_core,float,ms_change_pp,Y_Q2_adoption,Q2,zscore,42,1,2.3256,20
26,anthropic_usage_pct,observed_core,float,anthropic_usage_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,42
27,anthropic_collaboration_pct,observed_core,float,anthropic_collaboration_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,2
