variable,hoja_destino,descripcion,entidad,tipo_valor,escala,anos_disponibles,framework,notas
iso3,Consolidado + hojas de detalle,Codigo ISO 3166-1 alpha-3 del pais,pais,string,string,2019-2025,todos,
entity_type,Consolidado + hojas de detalle,"Tipo de entidad: pais, region",pais,string,string,2019-2025,todos,
pais_original,Consolidado + hojas de detalle,Nombre exacto del pais en el Excel fuente de ese ano,pais,string,string,2019-2025,todos,
year,Consolidado + hojas de detalle,Ano del indice,pais,int,string,2019-2025,todos,
scale,Consolidado + hojas de detalle,Escala del total_score: 0-10 (2019) o 0-100 (2020-2025),pais,string,string,2019-2025,todos,
framework,Consolidado + hojas de detalle,"Framework usado: 4_clusters, 3_pillars_10_dims, 6_pillars_14_dims",pais,string,string,2019-2025,todos,
total_score,Consolidado + hojas de detalle,Puntaje indice de preparacion gubernamental para IA. Escala 0-10 (2019) o 0-100 (2020-2025),pais,float,0-10,2019-2025,todos,
rank,Consolidado + hojas de detalle,Ranking global (1=mejor). No existe en 2019 en el Consolidado (ver Rankings_Regionales_2019),pais,int,ordinal (1=N),2020-2025,"3_pillars_10_dims,6_pillars_14_dims",
privacy_laws,Consolidado + hojas de detalle,"Leyes de privacidad: 0=no, 1=si",pais,int,binario (0/1),2019,4_clusters,
ai_strategy,Consolidado + hojas de detalle,"Estrategia IA: 0=none, 1=forthcoming, 2=yes",pais,int,ordinal (0/1/2),2019,4_clusters,
data_availability,Consolidado + hojas de detalle,"Disponibilidad de datos abiertos (OKFN, escala 1-100)",pais,float,0-100,2019,4_clusters,
govt_procurement_advanced_tech,Consolidado + hojas de detalle,Compras gubernamentales de tecnologia avanzada (WEF NRI),pais,float,0-100,2019,4_clusters,
data_capability_govt,Consolidado + hojas de detalle,"Capacidad de datos en gobierno (UN e-gov index, 0-1)",pais,float,0-100,2019,4_clusters,
technology_skills,Consolidado + hojas de detalle,Habilidades tecnologicas (WEF GCR),pais,float,0-100,2019,4_clusters,
ai_startups,Consolidado + hojas de detalle,"Numero de startups IA (Crunchbase, conteo directo)",pais,int,conteo (0-5053),2019,4_clusters,
log_ai_startups,Consolidado + hojas de detalle,Log de AI startups,pais,float,0-100,2019,4_clusters,
innovation_capability,Consolidado + hojas de detalle,Capacidad de innovacion sector privado (WEF GCR),pais,float,0-100,2019,4_clusters,
digital_public_services,Consolidado + hojas de detalle,"Servicios publicos digitales (UN e-gov, 0-1)",pais,float,0-100,2019,4_clusters,
