jurisdiction_iapp,policy_text,authorities_text,other_laws_text,context_text,pages,page_count,page_start,page_end,source,source_date
Argentina,"Argentina has developed a National AI Plan to
help facilitate the use and development of AI in
the country.
Under Resolution 2/2023, Argentina released
recommendations for trustworthy and reliable AI
directed at the public sector. Argentina's Public
Information Access Agency released a Guide to
Responsible AI. This document focuses primarily
on four points: ""Definition and Characteristics of
AI,"" ""Problems and Challenges of AI,"" ""Principles
of Transparency and Personal Data Protection,""
and ""Recommendations for Transparency and
Data Protection in the Lifecycle of AI.""
In August 2024, Argentina’s congress started
debating legislation (Bill 3003-D-2024) to regulate
the use of AI. It is modeled in the spirit of the
EU AI Act, which uses a risk-based approach to
define obligations for providers and deployers of
AI-based systems while also heeding Argentina’s
specific interest in AI innovation.
In August 2025, the Bill on Personal Data
Protection in Artificial Intelligence Systems (Bill
4243-D-2025) was introduced, aimed at regulating
the processing of personal data within Argentina
by entities developing or deploying AI systems,
regardless of the operator’s location.","J National Big Data
Observatory
J Secretariat of Innovation,
Science and Technology
J Undersecretariat
of Information and
Communication
Technologies
J Agency of Access to Public
Information
J National Securities
Commission
J National Cybersecurity
Directorate","J Federal Plan for the Prevention
of Cybercrime and Strategic
Management of Cybersecurity
(2025-2027) [IN FORCE]
J Personal Data Protection
Law [IN FORCE]
J Law 27699 for the Protection
of Individuals with respect
to Automatic Processing of
Personal Data [IN FORCE]
J Central Bank Communication
A 7724 [IN FORCE]
J Provision 18/2015 Guide to
Good Privacy Practices for
Application Development
[IN FORCE]","• Argentina is a party to the Organization for
Economic Co-operation and Development's AI
principles. See OECD AI principles and adherents.
• Argentina adopted UNESCO's Recommendation
on the Ethics of AI.
• See Argentina's Digital Agenda 2030.
• See Argentina's Fintech Innovation Hub.
• Argentina's data protection authority, the
Agency of Access to Public Information,
published Resolution No. 161/23, which
created the Transparency and Protection
of Personal Data Program in the use of AI.
• The president's chief of staff also issued
Administrative Decision No. 750/2023, creating
the Interministerial Roundtable on AI.
• Argentina was the only G20 nation not to sign
onto the Statement on Regulation of AI.
• Argentina aims to position itself as a regional AI
hub, including plans to expand nuclear power
generation to meet the energy demands of new
AI data centers.
• Argentina endorsed a joint statement on data
scraping and the protection of privacy with
Canada..",4,1,4,4,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Australia,"Australia is developing an Australian-first AI
plan to boost capability with the aim of growing
investment, strengthening AI capabilities, boosting
AI skills and securing economic resilience.
In 2025, the Competition and Consumer
Commission published a final report in its Digital
Platforms Services Inquiry, examining generative
AI impacts on competition and the marketplace.
Additionally, the Productivity Commission issued a
report warning against over-regulation of AI.
In 2024, the Australian Department of Industry,
Science and Resources released the Voluntary
AI Safety Standard. This standard builds on the
2023 discussion paper ""Safe and Responsible AI
in Australia"" to support and promote consistency
among best practices when developing AI.
While not mandatory, the standard consists of
10 guardrails, including testing, transparency
and accountability requirements. In addition,
the department published a proposal paper
for introducing mandatory guardrails for AI in
high-risk settings, seeking public feedback on
guidelines that would address risk and harm
from AI, build public trust and provide greater
regulatory certainty.
Australia's Digital Transformation Agency
released its policy for the responsible use of AI
in government in 2024. In this document, the
government recognizes the potential benefits of AI
and notes that the public expects the government
to use AI safely and responsibly. According to
the policy, government agencies must adopt
several governance measures, such as naming an
accountable official.
Australia released the AI Impact Navigator, a
framework for companies to assess and measure
impact and outcomes of their AI systems.
Moreover, the Information Commissioner
published guidance on privacy and developing
generative AI models.
In November 2024, Australia released a committee
report, recommending ""new, whole-of-economy,
dedicated legislation to regulate high-risk uses of
AI"" that would mandate guardrails and ""establish a
monitoring and enforcement regime overseen by
an independent AI regulator.""
Australia amended its Privacy Act, which now
requires that organizations disclose when
automated decisions are made. See the IAPP's
article on the new privacy reform's top operational
impacts.","J Department of Industry,
Science and Resources
J Commonwealth Scientific
and Industrial Research
Organisation
J Office of the eSafety
Commissioner
J Office of the Australian
Information Commissioner
J Competition and
Consumer Commission
J National AI Centre's
Responsible AI Network
J National Science and
Technology Council","J Patents Act [IN FORCE]
J Copyright Act [IN FORCE]
J Privacy Act [IN FORCE]
J Data Availability and
Transparency Act [IN FORCE]
J Consumer Data Right
[IN FORCE]
J Competition and
Consumer Act [IN FORCE]
J Compliance and Enforcement
Policy for the Consumer
Data Right
Australia was one of the first
countries in the world to adopt AI
ethics principles, which include a
robust ethics framework:
• Developing the AI Ethics
Principles
• AI Ethics Principles","• Australia is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• Australia participated in the 2023 U.K. AI
Summit, which led to the Bletchley Declaration.
• Australia adopted UNESCO's Recommendation
on the Ethics of AI.
• See the Digital Transformation Agency's 2025-
26 Corporate Plan.
• The government announced an advisory body of
industry and academic experts to help it devise
guardrails for ""high risk"" AI applications.
• The Human Technology Institute at the
University of Technology Sydney released The
State of AI Governance in Australia.
• See the National Science and Technology
Council's Rapid Response Information Report
on Generative AI.
• In March 2020, the government released the
AI Standards Roadmap: Making Australia's
Voice Heard. Developed by Standards Australia
and commissioned by the Department of
Industry, Science, Energy and Resources,
the Roadmap's primary goals include
ensuring Australia’s influence global AI
standards, increasing Australia’s international
competitiveness regarding responsible AI, and
growing Australia’s capacity for developing AI
best practices.
• Australia banned DeepSeek on all federal
government devices.
• Australia and Singapore signed a memorandum
of understanding to deepen cooperation on AI.
• Australia signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.
• Australia's Privacy Commissioner signed
a joint statement on building trustworthy
data governance frameworks to encourage
the development of innovative and privacy-
protective AI.
• Australia's Information Commissioner gave
a speech in February 2025, emphasizing
transparency, regulatory cohesion and
regulatory effectiveness in governing AI.
• Australia endorsed a joint statement on data
scraping and the protection of privacy with
Canada.
• The Department of Industry, Science and
Resources released an AI policy guide and
template for organizations.",5|6,2,5,6,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Bangladesh,"Bangladesh is looking to advance its AI policies
and has published a National AI Strategy for
2019-2024. The strategy includes:
• Developing a strategy and development
roadmap.
• Overcoming challenges to the use of AI.
• Leveraging AI for social and economic growth,
and more.
The Information and Communication Technology
Division published a National AI Policy 2024, which
envisions establishing Bangladesh as a pioneer in
AI innovation and adoption.","J Information and
Communication
Technology Division","J Cyber Security Act [IN FORCE]
J Constitution of the People's
Republic of Bangladesh
[IN FORCE]
J Right to Information Act
[IN FORCE]
J Copyright Act [IN FORCE]
J Telecommunications Act
[IN FORCE]
J Information and
Communications Technology
Act [IN FORCE]
J Personal Data Protection
Ordinance [IN FORCE]","• Bangladesh adopted UNESCO's
Recommendation on the Ethics of AI.
• See Digital Bangladesh Concept Note.",7,1,7,7,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Brazil,"Brazil published an AI Strategy, proposing to
contribute to ethical AI principles, promote AI
research and innovation, train AI professionals,
share the country's AI in an international
environment, and promote cooperation among
the public and private sectors. Brazil also strives
to encourage data sharing per its General Data
Protection Law, the LGPD, create an AI observatory
for measuring impact and disseminate open-
source codes for identifying discriminatory trends.
Brazil's Senate has approved Bill 2338/2023, a
comprehensive AI bill that emphasizes human
rights and creates a civil liability regime for AI
developers. The Chamber of Deputies will review
the bill next. The proposed AI bill would:
• Prohibit certain ""excessive risk"" systems.
• Establish a regulatory body to enforce the law.
• Create civil liability for AI providers.
• Require reporting obligations for significant
security incidents.
• Guarantee various individual rights, such as
explanation, nondiscrimination, rectification of
identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade
Nacional de Proteção de Dados, published
a preliminary analysis of Bill No. 2338/2023.
Further, the ANPD published its final opinion on
Bill 2338/2023, seeking to align the bill with the
LGPD.","J Ministry of Science,
Technology and Innovation
J ANPD","J General Data Protection Act
[IN FORCE]
J Civil Rights Framework for the
Internet [IN FORCE]
J Consumer Protection Code
[IN FORCE]
J Copyright Law [IN FORCE]
J General Telecommunications
Act [IN FORCE]","• Brazil is a party to the OECD's AI principles. See
OECD AI principles and adherents. See also this
article on Brazil's path to responsible AI.
• Brazil participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• Brazil adopted UNESCO's Recommendation on
the Ethics of AI.
• See Brazil's Digital Transformation Strategy.
• The ANPD entered into a technical cooperation
agreement with the Development Bank of Latin
America ""to develop an experimental regulatory
tool"" for AI-related innovation.
• Brazil unveiled a plan to invest USD4 billion in
domestic AI capabilities.
• The ANDP and France's DPA, the Commission
nationale de l’informatique et des libertés, met
to strengthen international cooperation on
data protection, artificial intelligence and digital
education.
• Brazil and Nigeria signed a memorandum to
strengthen their technological partnership,
including collaboration in AI.",8,1,8,8,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Canada,"Canada's AI and Data Act failed to proceed
through the House of Commons.
Canada published a code of practice for generative
AI development and use in anticipation of the AI
and Data Act.
The country also issued a Directive on Automated
Decision-Making, which imposes several
risk-mitigating requirements on the federal
government's use of automated decision-making
systems.
Canada launched its AI Safety Institute in
November 2024. CAISI's stated goal is to advance
the science of AI safety, ensuring that AI is used
safely and can be trusted by its citizens.
Canada's Competition Bureau released a report
in January 2025 containing its public consultation
findings on how AI will affect competition in
Canada. The report found that AI's rapid growth
creates a host of opportunities, but risks and
concerns over anti-competitive conduct are also
implicated; moreover, the efficacy of existing
antitrust laws in this context remains to be seen.","J Ministry of Innovation,
Science and Economic
Development
J Canadian Institute for
Advanced Research
J Office of the Privacy
Commissioner of Canada
J Standing Committee on
Industry and Technology
J Advisory Council on AI
J AI Safety Institute","J Personal Information
Protection and Electronic
Documents Act [IN FORCE]
J Privacy Act [IN FORCE]
J Consumer Product Safety Act
[IN FORCE]
J Food and Drugs Act [IN FORCE]
J Motor Vehicle Safety Act
[IN FORCE]
J Bank Act [IN FORCE]
J Human Rights Act [IN FORCE]
J Criminal Code [IN FORCE]
J Quebec's Law 25: An Act
to modernize legislative
provisions as regards the
protection of personal
information [IN FORCE]
J Genetic Non-Discrimination
Act [IN FORCE]
J Copyright Act [IN FORCE]","• Canada is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• Canada participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• As part of the G7, Canada endorsed the 11
Hiroshima Process International Guiding
Principles for Advanced AI systems.
• Canada adopted UNESCO's Recommendation
on the Ethics of AI.
• According to its Pan-Canadian AI Strategy,
Canada plans to achieve an AI ecosystem
founded on Commercialization, Standards, and
Talent and Research. In achieving these goals,
Canada has established three AI institutes: Amii
in Edmonton, Mila in Montreal and the Vector
Institute in Toronto.
• In 2019, the House of Commons' Standing
Committee on Industry, Science and Technology
issued a report including recommendations
regarding copyright protection for AI-generated
works.
• In September 2024, a collaborative effort
between researchers from Canada, the U.K. and
U.S. explored the risks and benefits of utilizing
AI in the nuclear industry.
• Canada joined Australia, Japan, the U.K. and
U.S. in drafting a set of principles to guide
adoption of AI in the telecommunications
industry. These principles focused on AI growth,
security and overall societal benefits.
• Canada signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.",9,1,9,9,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Chile,"In October 2021, Chile published its first National
Policy and Action Plan on AI. The country's former
Minister of Science, Technology, Knowledge and
Innovation Andrés Couve explained the policy is
built on the following:
• Development of enabling factors
• Use and development of AI technology
• Ethics and safety aspects
In May 2024, Chile introduced draft AI legislation
that promotes AI while ensuring human rights.
The risk-based legislation also promotes self-
regulation.","J Agency for the Protection
of Personal Data
J Ministry of Science,
Technology, Knowledge
and Innovation
J Commission on Future
Challenges, Science,
Technology and Innovation
J National Research and
Development Agency
J National Center for AI
Research
J Chilean Transparency
Council
J National Consumers
Agency","J Law 21,719 on the Protection
of Personal Data [IN FORCE]
J Digital Economy Partnership
Agreement [IN FORCE]
J Political Constitution of the
Republic of Chile [IN FORCE]
J Law No. 19,628 on the
Protection of Private Life
[IN FORCE]
J Law No. 20,285 on the
Transparency of Public
Functions and Access to
Information on Public
Administration [IN FORCE]
J Law 21,180 on Digital
Transformation of the State
[IN FORCE]
J Industrial Property Law No.
19,039 [IN FORCE]
J Law No. 17,336 on Intellectual
Property [IN FORCE]
J Fintech Law [IN FORCE]
J Bill 17,590-05 that creates the
National Data Management
System [DRAFT]","• Chile is a party to the OECD's AI principles. See
OECD AI principles and adherents.
• Chile participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• Chile adopted UNESCO's Recommendation on
the Ethics of AI.
• See Chile's 2035 Digital Transformation
Strategy.
• In 2023, Chile hosted the first Latin American
and Caribbean Ministerial and High-Level
Summit on the Ethics of AI with support from
UNESCO and CAF.
• The Inter-American Development Bank
supported the Chilean government's project to
develop new transport technology applications,
specifically focusing on big data and
autonomous vehicles.
• On 11 Feb. 2025, Chile endorsed the Paris
Charter on Artificial Intelligence. The
charter recognizes principles of openness,
collaboration, accountability and transparency
in AI governance.
• Chile signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.
• Chile is building data centers and launching
new AI initiatives; the country also ranks first
in the 2024 Latin American AI Index. At the
same time, Chile exemplifies the various policy
tensions inherent to AI development.",11,1,11,11,IAPP_Global_AI_Law_Policy_Tracker,2026-02
China,"China has been proactive in adopting legislation
and regulations around the use of AI, with several
national laws currently in place. Currently, the
laws, regulations and policies governing AI in
China are specific to AI use cases:
• Algorithmic Recommendation Management
Provisions [IN FORCE]
• Interim Measures for the Management of
Generative AI Services [IN FORCE]
• ""Administrative Provisions on Deep Synthesis in
Internet-Based Information Services"" or ""Deep
Synthesis Provisions"" [IN FORCE]
• AI guidelines and summary of regulations
[IN FORCE]
• Scientific and Technological Ethics Review
Regulation [IN FORCE]
• Next Generation AI Development Plan
[IN FORCE]
• Measures for Labeling of AI-Generated
Synthetic Content [IN FORCE]
• Security Management Measures for the
Application of Facial Recognition Technology
[IN FORCE]
• Measures for Ethical Management Services of
Artificial Intelligence Science and Technology
[DRAFT]
China established an AI standards committee,
drawing members from industry, such as Baidu,
Alibaba and Tencent. It also issued a guideline to
accelerate AI Plus Integration.
China's State Administration for Market Regulation
and the Standardization Administration released
three national standards to improve generative AI
security:
• Generative AI data annotation security
specification
• Security specification for generative AI
pre-training and fine-tuning data
• Basic security requirements for generative AI
service","J Cyberspace Administration
of China
J Ministry of Industry and
Information Technology
J Ministry of Public Security
J State Administration for
Market Regulation
J National Development and
Reform Commission","J Cybersecurity Law [IN FORCE]
J Data Security Law [IN FORCE]
J Personal Information
Protection Law [IN FORCE]
J Shenzhen Special Economic
Zone AI Industry Promotion
Regulation [IN FORCE]
J Copyright Law [IN FORCE]
J Patent Law [IN FORCE]
J Trademark Law [IN FORCE]","• China is a party to the G20 AI Principles, which
are drawn from the OECD's AI principles. See
OECD AI principles and adherents.
• China participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• China adopted UNESCO's Recommendation on
the Ethics of AI.
• See China's AI development plan.
• See the Ministry of Science and Technology's
2021 AI governance document on ethical norms
for AI use.
• China led a successful UN resolution on AI.
• In July 2024, China released the Shanghai
Declaration on Global AI Governance, which
calls for global cooperation in developing AI
""while ensuring safety, reliability, controllability
and fairness in the process, and ... leveraging AI
technologies to empower the development of
human society.""
• In September 2024, China released the AI Safety
Governance Framework as part of its Global AI
Governance Initiative. This framework lays out
China's objectives for international cooperation
on AI governance as well as its view on the risks
AI poses to safety.
• China's AI development depends on imported
advanced-computing chips, which the U.S.
has sought to deny access to (though the
country has relented somewhat), in addition
to developing its domestic advanced chip
production capacity. In November 2024, the
TSMC complied with an export stop order
from the U.S. Department of Commerce
after their chips were found in a Huawei
AI processor. Chinese model DeepSeek,
nevertheless, developed a cutting-edge model
that benchmarks with OpenAI's most advanced
models. Its developer did so with limited access
to imported chips and at a much lower cost.
• Relatedly, China launched an investigation into
Nvidia, finding the chipmaker violated anti-
monopoly law.
• Former U.S. President Joe Biden and President
Xi Jinping met in November 2024 to discuss the
need to address and mitigate risks around the
use of AI.
• China's AI prowess has influenced the Trump
administration's approach to AI and industrial
policy.
• China signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.
• China endorsed a joint statement on data
scraping and the protection of privacy with
Canada.",12|13,2,12,13,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Colombia,"Colombia has various policies addressing AI
governance, including the following:
• National AI Policy
• AI Expert Mission
• National Policy for Digital Transformation
and AI
• Projects on Digital Transformation and the
Public Sector
Bill of Law No. 422 promotes AI R&D, classifies
AI risk and sets out a liability framework. It also
names the Ministry of Science, Technology and
Innovation as the primary AI regulator.","J Administrative Department
of the Presidency of the
Republic
J Development Bank of
Latin America and the
Caribbean
J Ministry of Information
and Communication
Technologies
J Ministry of National
Education
J Ministry of Science,
Technology and Innovation
J National Planning
Department
J Superintendence of
Industry and Commerce
J AI Task Force","J Personal Data Protection Law
(Law 1581) [IN FORCE]
J Decree 1377 [IN FORCE]
J Habeas Data Law, Law 1266
amended by Law 2157 [IN
FORCE]
J Decree 338 [IN FORCE]
J Consumer Protection Law
(Law 1480) [IN FORCE]
J Copyright Law (Law 23)
[IN FORCE]","• Colombia is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• Colombia also adopted UNESCO's
Recommendation on the Ethics of AI.
• Colombia published an Ethical Framework
that reiterates best practices, suggestions
and recommendations on how best to
integrate ethical principles into the use
of AI, especially for the benefit of public
sector entities. An AI Task Force was created
in partnership with the CAF to bolster AI
implementation.
• Colombia endorsed a joint statement on data
scraping and the protection of privacy with
Canada.",14,1,14,14,IAPP_Global_AI_Law_Policy_Tracker,2026-02
EU,"On 1 Aug. 2024, the EU AI Act entered into force.
Various dates for compliance will apply in the
coming years, with the first applications of the act
in early 2025 and the last at the end of 2030. On
2 Feb. 2025, the first set of obligations came into
force.
In brief, the act:
• Creates harmonized rules for placing AI on the
EU market.
• Applies to the EU and any third-country
providers and deployers that place AI systems
on the EU market.
• Centers around a risk-based approach.
• Prohibits use of certain AI systems and provides
specific requirements for high-risk systems.
• Creates harmonized transparency rules for
certain AI systems.
Currently, the following obligations are in place:
• Organizations will need to ensure employees
have access to AI literacy.
• The prohibition on certain AI systems is in force.
• Guidance on the definition for AI systems has
been published.
• The EU published the third draft of the General-
Purpose AI Code of Practice in consultation with
independent experts and stakeholders.
The EU committed to investing 200 billion euros in
AI through InvestAI initiative, with 20 billion euros
earmarked for AI gigafactories. The first wave of
factories was designated in December 2024 and
the second wave in March 2025. This initiative
was later expanded upon in the Commission's AI
Continent Action Plan, which seeks to strengthen
the EU's AI capabilities. As part of this plan, the
Commission will open an AI Act Service Desk to
ensure smooth implementation of the AI Act.
The IAPP and its partners have worked diligently
to analyze the EU AI Act and its implications for
organizations. For more insight, check out the IAPP
series on the top 10 operational impacts of the EU
AI Act and the EU AI Act: 101.","J EU AI Office
J EU AI Board
J European Data
Protection Board
J Special Committee on AI
in a Digital Age
J EDPB's ChatGPT Task Force
J Member states must
establish or designate
a Market Surveillance
Authority, and a Notifying
Authority by 2 Aug. 2025,
though compliance with
this deadline has been
inconsistent.
J Member state AI
authorities include:
- Agency for Digital
Government (Denmark)
- Innovation Agency
& Communications
Regulatory Authority
(Lithuania)
- National Commission
for Data Protection
(Luxembourg)
- Digital Innovation
Authority &
Information Data
Protection Commission
(Malta)
- AI Supervisory Agency
(Spain)
J Member state DPAs
include:
- Commission nationale
de l'informatique et
des libertés (France)
- Bundesbeauftragter
für Datenschutz und
Informationsfreiheit
(Germany)
- Garante Per La
Protezione Dei Dati
Personali (Italy)
- Agencia Española de
Protección de Datos
(Spain)
- Autorité de protection
des données (Belgium)
- Urząd Ochrony Danych
Osobowych (Poland)
- Datenschutzbehörde
(Austria)
- Nemzeti Adatvédelmi
és Információszabadság
Hatóság (Hungary)","J General Data Protection
Regulation [IN FORCE]
J Digital Services Act [IN FORCE]
J Digital Markets Act [IN FORCE]
J AI Liability Directive [DROPPED]
J Cyber Resilience Act [IN FORCE]
J Ethics guidelines for
trustworthy AI [IN FORCE]
J New Product Liability
Directive [ENACTED]
J Data Act [IN FORCE]","• The EU is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• The EU participated in the 2023 U.K. AI
Summit, which led to the Bletchley Declaration.
• As a nonenumerated member of the G7,
the EU endorsed the 11 Hiroshima Process
International Guiding Principles for Advanced
AI systems.
• The EU also adopted UNESCO's
Recommendation on the Ethics of AI.
• See the EU's approach and timeline for AI
development.
• As part of a regulatory simplification agenda,
EU institutions are considering whether to
implement a pause on the AI Act and whether
other changes are appropriate. See the EU
Commission's Digital Omnibus on AI Regulation
Proposal.
• Member states and the European Commission
worked to create a Coordinated Plan on AI
in 2018. This plan includes a table showcasing
how 23 of 27 EU countries, as well as Norway
and Switzerland, have progressed with their
national strategies. The coordinated plan was
updated in 2021.
• In January 2024, the European Commission
decided to establish an EU AI Office to play a
key role in implementing the AI Act, foster the
development and use of trustworthy AI, and
promote international cooperation.
• The EU and several other countries signed onto
the Council of Europe's Framework Convention
on AI and human rights, democracy and the
rule of law.
• Some EU member states have national
AI strategies, many of which emphasize
research, training and labor preparedness,
as well as multistakeholder and international
collaboration. For example, France's national AI
strategy lays out three main objectives:
- Improve the AI education and training
ecosystem.
- Establish an open data policy for
implementing AI applications and pooling
assets.
- Develop an ethical framework for fair and
transparent use of AI.
• The EU and Singapore signed an agreement to
strengthen cooperation between the AI Office
and Singapore's AI Safety Institute.
• DeepSeek has been investigated by several
European authorities.
• The EU signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.",16|17,2,16,17,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Egypt,"Egypt's National AI Strategy focuses on four pillars:
• AI for government
• AI for development
• Capacity building
• International activities
The country's other initiatives include an AI
roadmap and Charter for Responsible AI.
In January 2025, Egypt's Ministry of
Communications and Information Technology
released the second edition of its National AI
Strategy, which outlines the nation's projected
strategic intent for the development and
implementation of AI over the next five years.","J National Council for AI
J Ministry of
Communications and
Information Technology","J Law No. 151 of 2020 on the
Protection of Personal Data
[IN FORCE]
J Law No. 175 of 2018 Regarding
Anti-Cyber and Information
Technology Crimes [IN FORCE]
J Law No. 10 of 2003
Telecommunication Regulation
Law [IN FORCE]
J Law No. 82 of 2002 on the
Protection of Intellectual
Property Rights [IN FORCE]","• Egypt is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• Egypt adopted UNESCO's Recommendation on
the Ethics of AI.
• Egypt chaired several meetings for the Arab
AI Working Group, which promotes discussion
of AI strategies among representatives from
Arab countries. See the group's chair election,
second meeting and third meeting.
• See the Applied Innovation Center.
• The Senate Education Committee urged the
issuance of a document to evaluate the ethics
and controls of AI in Egypt.",15,1,15,15,IAPP_Global_AI_Law_Policy_Tracker,2026-02
